genome,common_name,Phylum,Class,Order,pmsf_family,new_family,Old_family,old_genus,new_genus,taxon_source,other,skani_cluster,mcl_cluster
IMGM3300025916_BIN342,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,n_193,NA,,S1728,NA
GCA_000838105-1_ViralProj14124,Invertebrate iridescent virus 6,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g130,g130,identical_markers,,S1366,MCL569
GCA_000923155-1_ViralProj253719,Armadillidium vulgare iridescent virus,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g129,g129,identical_markers,,S1321,NA
GCA_000881595-1_ViralProj32133,Diadromus pulchellus ascovirus 4a,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g128,g128,identical_markers,,S1331,NA
IMGM3300041997_BIN35,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,g128,NA,,NA,NA
Tric,Trichoplusia ni ascovirus 6b TnAV-6b,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g127,g127,identical_markers,,S882,NA
GCA_002818865-1_ASM281886v1,Heliothis virescens ascovirus 3f LD135790,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g127,g127,identical_markers,,S1322,MCL418
IMGM3300037492_BIN109,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,n_194,NA,,S2188,MCL631
IMGM3300027899_BIN341,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,n_195,NA,,NA,NA
IMGM3300027899_BIN250,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,n_195,NA,,S1714,NA
IMGM3300020497_BIN37,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,n_195,NA,,S11,NA
IMGM3300032214_BIN204,Daphnia iridovirus 1,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,g131,close on tree,,NA,NA
GCA_000918955-1_ViralProj243064,Anopheles minimus irodovirus AMIV,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g133,g133,identical_markers,,S1320,NA
GCA_000869125-1_ViralProj17099,Aedes taeniorhynchus iridescent virus,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g132,g132,identical_markers,,NA,NA
GCA_000914535-1_ViralProj239736,Invertebrate iridovirus 25,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_02,PM_02,PM_02,g132,g132,identical_markers,,S1383,MCL212
IMGM3300009085_BIN113,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,g132,NA,,S1763,NA
IMGM3300032286_BIN273,NA,NA,Megaviricetes,Pimascovirales,PM_02,PM_02,NA,NA,g132,NA,,NA,NA
IMGM3300034066_BIN526,NA,NA,Megaviricetes,Pimascovirales,nPM_02a,nPM_02a,NA,NA,n_196,NA,,S812,NA
IMGM3300025466_BIN68,NA,NA,Megaviricetes,Pimascovirales,nPM_02a,nPM_02a,NA,NA,n_197,NA,,S1048,NA
IMGM3300037300_BIN52,NA,NA,Megaviricetes,Pimascovirales,nPM_02a,nPM_02a,NA,NA,n_198,NA,,NA,NA
IMGM3300022206_BIN57,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_199,NA,,NA,NA
GCA_000846905-1_ViralProj14544,Singapore grouper iridovirus,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g124,g124,identical_markers,,NA,NA
Rama,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g123,g123,MCL_clustered,,S862,NA
GCA_006457375-1_ASM645737v1,Mandarin fish ranavirus strain=NH-1609,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g123,g123,identical_markers,,NA,NA
GCA_000839605-1_ViralProj14081,Lymphocystis disease virus 1,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g125,g125,identical_markers,,NA,NA
GCA_011559005-1_ASM1155900v1,Lymphocystis disease virus 2 strain=LCDV-JP_Oita_2018,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g125,g125,identical_markers,,NA,MCL574
Scad,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,g126,NA,,NA,NA
GCA_006451655-1_ASM645165v1,Three spot gourami iridovirus TRT15003,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g126,g126,identical_markers,,NA,MCL578
IMGM3300031563_BIN90,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_200,NA,,NA,NA
IMGM3300033544_BIN16,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_201,NA,,NA,NA
IMGM3300046328_BIN25,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_202,NA,,NA,NA
IMGM3300021444_BIN34,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_202,NA,,NA,NA
IMGM3300027896_BIN939,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_203,NA,,S1712,NA
IMGM3300027890_BIN43,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_204,NA,,S1794,MCL741
IMGM3300032300_BIN217,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,n_204,NA,,NA,NA
IMGM3300032235_BIN247,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g122,g122,MCL_clustered,,NA,MCL98
GCA_004788555-1_ASM478855v1,Shrimp hemocyte iridescent virus 20141215,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g122,g122,identical_markers,,S1329,NA
IMGM3300042894_BIN480,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,g121,NA,,S64,MCL783
IMGM3300027899_BIN280,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,PM_03,g121,g121,MCL_clustered,,S1599,NA
IMGM3300032579_BIN410,NA,NA,Megaviricetes,Pimascovirales,PM_03,PM_03,NA,NA,g121,NA,,S216,MCL638
TARA_PSW_NCLDV_00042,NA,NA,Megaviricetes,Pimascovirales,PM_incertae_sedis,PM_incertae_sedis,NA,NA,n_205,NA,,NA,NA
IMGM3300042471_BIN242,NA,NA,Megaviricetes,Pimascovirales,PM_incertae_sedis,PM_incertae_sedis,NA,NA,n_206,NA,,NA,MCL762
IMGM3300043423_BIN125,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_207,NA,,NA,NA
IMGM3300025597_BIN265,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_207,NA,,S1848,NA
IMGM3300035703_BIN1193,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_208,NA,,NA,NA
bin_4752,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_209,NA,,NA,NA
IMGM3300029286_BIN1227,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_210,NA,,NA,MCL400
bin_4072,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_211,NA,,NA,NA
bin_1200,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_212,NA,,NA,NA
bin_5861,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_213,NA,,NA,NA
LKH577_P12_Am-144,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_214,NA,,NA,NA
LKH424_P07_Ci-122,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_215,NA,,NA,NA
LKH577_P12_Am-4,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_216,NA,,NA,NA
bin_3801,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g88,g88,MCL_clustered,,NA,MCL145
bin_3802,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g89,NA,,NA,NA
IMGM3300009182_BIN332,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g89,g89,MCL_clustered,,S993,MCL231
bin_2773,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_217,NA,,NA,NA
IMGM3300003430_BIN55,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_218,NA,,S1708,NA
IMGM3300021093_BIN1261,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_218,NA,,NA,MCL265
TARA_AON_NCLDV_00018,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g94,g94,MCL_clustered,,NA,MCL521
TARA_MED_NCLDV_00085,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_219,NA,,NA,MCL484
IMGM3300028045_BIN212,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g93,NA,,S2011,MCL527
TARA_ARC_NCLDV_00040,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g93,g93,MCL_clustered,,NA,MCL503
IMGM3300010883_BIN2825,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_220,NA,,NA,NA
IMGM3300010883_BIN1521,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_221,NA,,NA,NA
IMGM3300020461_BIN149,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_222,NA,,NA,NA
IMGM3300044299_BIN131,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_223,NA,,NA,NA
ERX552270-117,ERX552270.117.dc,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g92,g92,identical_markers,,NA,NA
IMGM3300025137_BIN379,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g92,NA,,NA,NA
GVMAG-S-3300011013-114,GVMAG-S-3300011013-114,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g90,g90,identical_markers,,S1631,NA
TARA_AON_NCLDV_00002,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_224,NA,,NA,MCL747
IMGM3300023210_BIN92,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g91,g91,MCL_clustered,,NA,MCL451
TARA_PON_NCLDV_00015,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_225,NA,,NA,MCL676
IMGM3300012952_BIN332,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_225,NA,,NA,NA
IMGM3300050206_BIN2034,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_226,NA,,S2399,NA
IMGM3300009710_BIN127,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_227,NA,,NA,MCL670
IMGM3300043413_BIN38,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_227,NA,,NA,MCL792
IMGM3300031785_BIN371,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_228,NA,,NA,NA
IMGM3300032294_BIN302,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_229,NA,,NA,NA
IMGM3300044997_BIN87,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_230,NA,,S601,MCL715
IMGM3300023174_BIN1270,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g84,g84,MCL_clustered,,S1499,MCL516
GVMAG-S-3300012000-65,GVMAG-S-3300012000-65,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g83,g83,identical_markers,,NA,NA
IMGM3300032322_BIN154,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g85,NA,,NA,MCL390
IMGM3300009161_BIN179,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g85,g85,MCL_clustered,,NA,MCL478
IMGM3300023184_BIN903,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g85,g85,MCL_clustered,,S1547,NA
IMGM3300022752_BIN415,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_231,NA,,NA,NA
IMGM3300044293_BIN290,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g86,NA,,NA,NA
IMGM3300021093_BIN1350,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,g86,NA,,NA,NA
GVMAG-M-3300023184-71,GVMAG-M-3300023184-71,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g86,g86,identical_markers,,NA,NA
IMGM3300022752_BIN828,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_232,NA,,NA,NA
IMGM3300021091_BIN1157,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_232,NA,,NA,NA
IMGM3300021091_BIN861,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_233,NA,,NA,MCL696
GVMAG-M-3300022752-26,GVMAG-M-3300022752-26,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g87,g87,identical_markers,,NA,NA
IMGM3300023179_BIN1560,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g87,g87,MCL_clustered,,NA,MCL290
IMGM3300023179_BIN522,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_234,NA,,NA,NA
TARA_PON_NCLDV_00004,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_235,NA,,NA,NA
TARA_AON_NCLDV_00016,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_235,NA,,NA,NA
TARA_MED_NCLDV_00121,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_235,NA,,NA,NA
TARA_PSE_NCLDV_00009,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_235,NA,,S1874,NA
TARA_MED_NCLDV_00057,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_235,NA,,NA,MCL821
IMGM3300047353_BIN274,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_236,NA,,NA,MCL801
IMGM3300034789_BIN273,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_236,NA,,S2165,MCL769
TARA_PON_NCLDV_00017,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_236,NA,,NA,MCL824
IMGM3300046171_BIN828,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_236,NA,,NA,NA
TARA_ION_NCLDV_00010,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,NA,NA,n_236,NA,,S1300,MCL814
TARA_AON_NCLDV_00017,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_236,NA,,NA,NA
bin_1568,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_237,NA,,NA,NA
bin_6041,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g118,g118,MCL_clustered,,NA,MCL388
bin_4389,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_238,NA,,NA,MCL546
IMGM3300021516_BIN123,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g119,g119,MCL_clustered,,S1483,NA
IMGM3300034021_BIN766,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_239,NA,,S589,NA
IMGM3300044859_BIN882,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_240,NA,,NA,MCL763
GVMAG-M-3300021364-5,GVMAG-M-3300021364-5,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g117,g117,identical_markers,,NA,NA
GVMAG-S-3300002186-40,GVMAG-S-3300002186-40,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g117,g117,identical_markers,,S1618,NA
bin_4073,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g99,g99,MCL_clustered,,NA,MCL719
LKH426_P07_Ci-304,NA,NA,Megaviricetes,Pimascovirales,incertae,PM_01,PM_01,NA,n_241,NA,,NA,NA
bin_4741,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_242,NA,,S826,MCL789
bin_1797,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_243,NA,,S2255,MCL330
IMGM3300037328_BIN5,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g95,g95,MCL_clustered,,NA,MCL183
IMGM3300017963_BIN910,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g95,g95,MCL_clustered,,S500,NA
IMGM3300050212_BIN926,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_244,NA,,NA,NA
IMGM3300008255_BIN753,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_245,NA,,NA,NA
IMGM3300045921_BIN560,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_246,NA,,NA,NA
IMGM3300049215_BIN444,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_247,NA,,NA,NA
LKH577_P12_Am-203,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_248,NA,,NA,NA
bin_6119,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_249,NA,,NA,NA
IMGM3300012956_BIN561,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_250,NA,,NA,NA
IMGM3300050184_BIN685,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_251,NA,,NA,NA
GVMAG-M-3300005589-24,GVMAG-M-3300005589-24,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g98,g98,identical_markers,,NA,NA
IMGM3300020201_BIN631,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g97,g97,MCL_clustered,,S1908,MCL595
LKH431_P08_Am-65,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_252,NA,,NA,NA
IMGM3300032239_BIN230,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_253,NA,,NA,MCL402
IMGM3300050207_BIN1449,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_253,NA,,NA,NA
IMGM3300027503_BIN91,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g96,g96,MCL_clustered,,S946,MCL725
IMGM3300043411_BIN864,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g96,g96,MCL_clustered,,NA,MCL458
bin_2495,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g96,NA,,S2001,NA
bin_1777,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_254,NA,,S2264,MCL691
GVMAG-M-3300009488-16,GVMAG-M-3300009488-16,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g100,g100,identical_markers,,NA,NA
bin_5990,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_255,NA,,NA,NA
bin_6261,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_256,NA,,NA,MCL847
bin_4307,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_256,NA,,NA,NA
SRX802189-61,SRX802189.61.dc,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g108,g108,identical_markers,,S1023,NA
IMGM3300049783_BIN1519,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_257,NA,,NA,NA
GVMAG-M-3300023184-134,GVMAG-M-3300023184-134,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g112,g112,identical_markers,,S1542,NA
IMGM3300010368_BIN33,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g113,g113,MCL_clustered,,NA,MCL616
GVMAG-M-3300023174-102,GVMAG-M-3300023174-102,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g116,g116,identical_markers,,S1498,NA
TARA_PON_NCLDV_00031,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_258,NA,,NA,NA
bin_6763,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g115,g115,MCL_clustered,,S2142,MCL609
bin_4222,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g110,g110,MCL_clustered,,NA,MCL448
bin_5781,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g110,NA,,S1905,MCL324
bin_6626,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g109,g109,MCL_clustered,,NA,MCL161
bin_1037,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g109,NA,,S1107,NA
IMGM3300009163_BIN222,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g109,NA,,NA,MCL649
IMGM3300028569_BIN314,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g109,g109,MCL_clustered,,NA,MCL530
IMGM3300018868_BIN368,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_259,NA,,NA,NA
bin_2744,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_260,NA,,NA,MCL528
IMGM3300042367_BIN116,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_260,NA,,NA,NA
bin_6750,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g111,NA,,NA,MCL377
bin_3329,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g111,NA,,NA,NA
GVMAG-M-3300023179-108,GVMAG-M-3300023179-108,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g111,g111,identical_markers,,NA,MCL353
bin_3188,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g111,NA,,NA,NA
IMGM3300010883_BIN2805,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_261,NA,,NA,NA
TARA_PON_NCLDV_00014,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_262,NA,,NA,NA
IMGM3300034022_BIN347,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g101,g101,MCL_clustered,,S27,MCL395
GVMAG-S-1085360-44,GVMAG-S-1085360-44,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g102,g102,identical_markers,,S399,MCL610
IMGM3300027503_BIN140,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_263,NA,,NA,NA
GVMAG-S-3300001748-13,GVMAG-S-3300001748-13,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g103,g103,identical_markers,,S1616,NA
IMGM3300021964_BIN562,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g103,g103,MCL_clustered,,S922,MCL710
IMGM3300050206_BIN315,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g104,NA,,NA,NA
IMGM3300005913_BIN38,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g104,NA,,S550,NA
GVMAG-S-1016704-142,GVMAG-S-1016704-142,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g104,g104,identical_markers,,S394,NA
bin_2340,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_264,NA,,NA,NA
IMGM3300018421_BIN198,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_265,NA,,S749,MCL689
GVMAG-M-3300023179-62,GVMAG-M-3300023179-62,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g105,g105,identical_markers,,NA,MCL71
ERX552261-56,ERX552261.56.dc,Nucleocytoviricota,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g105,g105,identical_markers,,NA,NA
TARA_ARC_NCLDV_00021,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g105,g105,MCL_clustered,,S1677,MCL452
TARA_MED_NCLDV_00117,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,g107,NA,,NA,NA
IMGM3300025874_BIN681,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g107,g107,MCL_clustered,,S518,MCL245
IMGM3300013010_BIN256,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g106,g106,MCL_clustered,,S1459,MCL677
IMGM3300046171_BIN1113,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_266,NA,,S2372,NA
IMGM3300031519_BIN225,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_266,NA,,NA,NA
IMGM3300017783_BIN270,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,g106,n_267,MCL_clustered,replaced,S1466,MCL311
IMGM3300050670_BIN120,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_267,NA,,NA,NA
TARA_PON_NCLDV_00016,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_267,NA,,NA,NA
IMGM3300009180_BIN193,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_267,NA,,NA,NA
bin_1803,NA,NA,Megaviricetes,Pimascovirales,PM_01,PM_01,PM_01,NA,n_267,NA,,NA,NA
bin_5385,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_268,NA,,NA,NA
IMGM3300045973_BIN190,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_269,NA,,NA,NA
Sylv,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_270,NA,,NA,NA
clandest,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_271,NA,,NA,NA
IMGM3300034068_BIN287,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_272,NA,,S2140,NA
IMGM3300050245_BIN1656,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,NA,n_273,NA,,NA,NA
IMGM3300033555_BIN26,NA,NA,Megaviricetes,Pandoravirales,PV_incertae_sedis,PV_incertae_sedis,NA,g144?,n_274,,,NA,NA
